{'Epoch': 0, 'HIT@5': '0.0073', 'NDCG@5': '0.0044', 'HIT@10': '0.0113', 'NDCG@10': '0.0057', 'HIT@20': '0.0191', 'NDCG@20': '0.0076'}
{'Epoch': 1, 'HIT@5': '0.0087', 'NDCG@5': '0.0055', 'HIT@10': '0.0150', 'NDCG@10': '0.0076', 'HIT@20': '0.0260', 'NDCG@20': '0.0103'}
{'Epoch': 2, 'HIT@5': '0.0116', 'NDCG@5': '0.0073', 'HIT@10': '0.0173', 'NDCG@10': '0.0092', 'HIT@20': '0.0275', 'NDCG@20': '0.0117'}
{'Epoch': 3, 'HIT@5': '0.0109', 'NDCG@5': '0.0071', 'HIT@10': '0.0177', 'NDCG@10': '0.0093', 'HIT@20': '0.0276', 'NDCG@20': '0.0118'}
{'Epoch': 4, 'HIT@5': '0.0116', 'NDCG@5': '0.0084', 'HIT@10': '0.0177', 'NDCG@10': '0.0104', 'HIT@20': '0.0257', 'NDCG@20': '0.0124'}
{'Epoch': 5, 'HIT@5': '0.0099', 'NDCG@5': '0.0076', 'HIT@10': '0.0139', 'NDCG@10': '0.0089', 'HIT@20': '0.0213', 'NDCG@20': '0.0107'}
{'Epoch': 6, 'HIT@5': '0.0116', 'NDCG@5': '0.0090', 'HIT@10': '0.0161', 'NDCG@10': '0.0104', 'HIT@20': '0.0224', 'NDCG@20': '0.0120'}
{'Epoch': 7, 'HIT@5': '0.0128', 'NDCG@5': '0.0099', 'HIT@10': '0.0166', 'NDCG@10': '0.0112', 'HIT@20': '0.0232', 'NDCG@20': '0.0128'}
{'Epoch': 8, 'HIT@5': '0.0124', 'NDCG@5': '0.0095', 'HIT@10': '0.0178', 'NDCG@10': '0.0112', 'HIT@20': '0.0237', 'NDCG@20': '0.0127'}
{'Epoch': 9, 'HIT@5': '0.0127', 'NDCG@5': '0.0097', 'HIT@10': '0.0168', 'NDCG@10': '0.0110', 'HIT@20': '0.0237', 'NDCG@20': '0.0127'}
{'Epoch': 10, 'HIT@5': '0.0131', 'NDCG@5': '0.0098', 'HIT@10': '0.0177', 'NDCG@10': '0.0112', 'HIT@20': '0.0241', 'NDCG@20': '0.0128'}
{'Epoch': 11, 'HIT@5': '0.0133', 'NDCG@5': '0.0101', 'HIT@10': '0.0179', 'NDCG@10': '0.0116', 'HIT@20': '0.0245', 'NDCG@20': '0.0132'}
{'Epoch': 12, 'HIT@5': '0.0132', 'NDCG@5': '0.0098', 'HIT@10': '0.0174', 'NDCG@10': '0.0112', 'HIT@20': '0.0239', 'NDCG@20': '0.0128'}
{'Epoch': 13, 'HIT@5': '0.0132', 'NDCG@5': '0.0102', 'HIT@10': '0.0169', 'NDCG@10': '0.0114', 'HIT@20': '0.0238', 'NDCG@20': '0.0132'}
{'Epoch': 14, 'HIT@5': '0.0132', 'NDCG@5': '0.0099', 'HIT@10': '0.0173', 'NDCG@10': '0.0112', 'HIT@20': '0.0244', 'NDCG@20': '0.0130'}
{'Epoch': 15, 'HIT@5': '0.0124', 'NDCG@5': '0.0094', 'HIT@10': '0.0164', 'NDCG@10': '0.0107', 'HIT@20': '0.0235', 'NDCG@20': '0.0125'}
{'Epoch': 16, 'HIT@5': '0.0130', 'NDCG@5': '0.0103', 'HIT@10': '0.0172', 'NDCG@10': '0.0116', 'HIT@20': '0.0243', 'NDCG@20': '0.0134'}
{'Epoch': 17, 'HIT@5': '0.0133', 'NDCG@5': '0.0102', 'HIT@10': '0.0176', 'NDCG@10': '0.0115', 'HIT@20': '0.0240', 'NDCG@20': '0.0131'}
{'Epoch': 18, 'HIT@5': '0.0127', 'NDCG@5': '0.0097', 'HIT@10': '0.0169', 'NDCG@10': '0.0110', 'HIT@20': '0.0230', 'NDCG@20': '0.0126'}
{'Epoch': 19, 'HIT@5': '0.0130', 'NDCG@5': '0.0098', 'HIT@10': '0.0166', 'NDCG@10': '0.0110', 'HIT@20': '0.0232', 'NDCG@20': '0.0126'}
{'Epoch': 20, 'HIT@5': '0.0132', 'NDCG@5': '0.0100', 'HIT@10': '0.0173', 'NDCG@10': '0.0113', 'HIT@20': '0.0239', 'NDCG@20': '0.0129'}
{'Epoch': 21, 'HIT@5': '0.0131', 'NDCG@5': '0.0099', 'HIT@10': '0.0172', 'NDCG@10': '0.0112', 'HIT@20': '0.0230', 'NDCG@20': '0.0127'}
{'Epoch': 22, 'HIT@5': '0.0134', 'NDCG@5': '0.0103', 'HIT@10': '0.0171', 'NDCG@10': '0.0114', 'HIT@20': '0.0236', 'NDCG@20': '0.0131'}
{'Epoch': 23, 'HIT@5': '0.0132', 'NDCG@5': '0.0100', 'HIT@10': '0.0176', 'NDCG@10': '0.0114', 'HIT@20': '0.0240', 'NDCG@20': '0.0130'}
{'Epoch': 24, 'HIT@5': '0.0133', 'NDCG@5': '0.0102', 'HIT@10': '0.0168', 'NDCG@10': '0.0113', 'HIT@20': '0.0238', 'NDCG@20': '0.0131'}
{'Epoch': 25, 'HIT@5': '0.0136', 'NDCG@5': '0.0104', 'HIT@10': '0.0171', 'NDCG@10': '0.0115', 'HIT@20': '0.0240', 'NDCG@20': '0.0132'}
