{'Epoch': 0, 'HIT@5': '0.0241', 'NDCG@5': '0.0150', 'HIT@10': '0.0397', 'NDCG@10': '0.0200', 'HIT@20': '0.0619', 'NDCG@20': '0.0256'}
{'Epoch': 1, 'HIT@5': '0.0255', 'NDCG@5': '0.0157', 'HIT@10': '0.0426', 'NDCG@10': '0.0212', 'HIT@20': '0.0689', 'NDCG@20': '0.0278'}
{'Epoch': 2, 'HIT@5': '0.0265', 'NDCG@5': '0.0165', 'HIT@10': '0.0443', 'NDCG@10': '0.0222', 'HIT@20': '0.0715', 'NDCG@20': '0.0291'}
{'Epoch': 3, 'HIT@5': '0.0266', 'NDCG@5': '0.0167', 'HIT@10': '0.0464', 'NDCG@10': '0.0230', 'HIT@20': '0.0753', 'NDCG@20': '0.0303'}
{'Epoch': 4, 'HIT@5': '0.0282', 'NDCG@5': '0.0175', 'HIT@10': '0.0481', 'NDCG@10': '0.0239', 'HIT@20': '0.0772', 'NDCG@20': '0.0312'}
{'Epoch': 5, 'HIT@5': '0.0287', 'NDCG@5': '0.0176', 'HIT@10': '0.0493', 'NDCG@10': '0.0241', 'HIT@20': '0.0786', 'NDCG@20': '0.0315'}
{'Epoch': 6, 'HIT@5': '0.0290', 'NDCG@5': '0.0180', 'HIT@10': '0.0519', 'NDCG@10': '0.0253', 'HIT@20': '0.0818', 'NDCG@20': '0.0328'}
{'Epoch': 7, 'HIT@5': '0.0308', 'NDCG@5': '0.0187', 'HIT@10': '0.0516', 'NDCG@10': '0.0254', 'HIT@20': '0.0825', 'NDCG@20': '0.0331'}
{'Epoch': 8, 'HIT@5': '0.0302', 'NDCG@5': '0.0186', 'HIT@10': '0.0527', 'NDCG@10': '0.0258', 'HIT@20': '0.0837', 'NDCG@20': '0.0336'}
{'Epoch': 9, 'HIT@5': '0.0311', 'NDCG@5': '0.0190', 'HIT@10': '0.0528', 'NDCG@10': '0.0259', 'HIT@20': '0.0832', 'NDCG@20': '0.0335'}
{'Epoch': 10, 'HIT@5': '0.0314', 'NDCG@5': '0.0197', 'HIT@10': '0.0523', 'NDCG@10': '0.0264', 'HIT@20': '0.0855', 'NDCG@20': '0.0347'}
{'Epoch': 11, 'HIT@5': '0.0314', 'NDCG@5': '0.0197', 'HIT@10': '0.0538', 'NDCG@10': '0.0270', 'HIT@20': '0.0873', 'NDCG@20': '0.0353'}
{'Epoch': 12, 'HIT@5': '0.0332', 'NDCG@5': '0.0206', 'HIT@10': '0.0543', 'NDCG@10': '0.0274', 'HIT@20': '0.0864', 'NDCG@20': '0.0354'}
{'Epoch': 13, 'HIT@5': '0.0343', 'NDCG@5': '0.0210', 'HIT@10': '0.0540', 'NDCG@10': '0.0273', 'HIT@20': '0.0879', 'NDCG@20': '0.0359'}
{'Epoch': 14, 'HIT@5': '0.0336', 'NDCG@5': '0.0207', 'HIT@10': '0.0542', 'NDCG@10': '0.0273', 'HIT@20': '0.0883', 'NDCG@20': '0.0358'}
{'Epoch': 15, 'HIT@5': '0.0332', 'NDCG@5': '0.0205', 'HIT@10': '0.0559', 'NDCG@10': '0.0278', 'HIT@20': '0.0892', 'NDCG@20': '0.0361'}
{'Epoch': 16, 'HIT@5': '0.0334', 'NDCG@5': '0.0205', 'HIT@10': '0.0562', 'NDCG@10': '0.0278', 'HIT@20': '0.0932', 'NDCG@20': '0.0371'}
{'Epoch': 17, 'HIT@5': '0.0355', 'NDCG@5': '0.0213', 'HIT@10': '0.0577', 'NDCG@10': '0.0285', 'HIT@20': '0.0924', 'NDCG@20': '0.0371'}
