{'Epoch': 0, 'HIT@5': '0.0337', 'NDCG@5': '0.0219', 'HIT@10': '0.0533', 'NDCG@10': '0.0282', 'HIT@20': '0.0828', 'NDCG@20': '0.0356'}
{'Epoch': 1, 'HIT@5': '0.0400', 'NDCG@5': '0.0268', 'HIT@10': '0.0635', 'NDCG@10': '0.0343', 'HIT@20': '0.0981', 'NDCG@20': '0.0430'}
{'Epoch': 2, 'HIT@5': '0.0447', 'NDCG@5': '0.0301', 'HIT@10': '0.0692', 'NDCG@10': '0.0380', 'HIT@20': '0.1066', 'NDCG@20': '0.0474'}
{'Epoch': 3, 'HIT@5': '0.0477', 'NDCG@5': '0.0325', 'HIT@10': '0.0740', 'NDCG@10': '0.0409', 'HIT@20': '0.1126', 'NDCG@20': '0.0506'}
{'Epoch': 4, 'HIT@5': '0.0517', 'NDCG@5': '0.0349', 'HIT@10': '0.0794', 'NDCG@10': '0.0437', 'HIT@20': '0.1179', 'NDCG@20': '0.0534'}
{'Epoch': 5, 'HIT@5': '0.0536', 'NDCG@5': '0.0362', 'HIT@10': '0.0824', 'NDCG@10': '0.0454', 'HIT@20': '0.1197', 'NDCG@20': '0.0548'}
{'Epoch': 6, 'HIT@5': '0.0553', 'NDCG@5': '0.0372', 'HIT@10': '0.0850', 'NDCG@10': '0.0467', 'HIT@20': '0.1228', 'NDCG@20': '0.0562'}
{'Epoch': 7, 'HIT@5': '0.0567', 'NDCG@5': '0.0385', 'HIT@10': '0.0849', 'NDCG@10': '0.0475', 'HIT@20': '0.1250', 'NDCG@20': '0.0576'}
{'Epoch': 8, 'HIT@5': '0.0593', 'NDCG@5': '0.0402', 'HIT@10': '0.0872', 'NDCG@10': '0.0492', 'HIT@20': '0.1272', 'NDCG@20': '0.0593'}
{'Epoch': 9, 'HIT@5': '0.0602', 'NDCG@5': '0.0408', 'HIT@10': '0.0890', 'NDCG@10': '0.0500', 'HIT@20': '0.1297', 'NDCG@20': '0.0603'}
{'Epoch': 10, 'HIT@5': '0.0605', 'NDCG@5': '0.0411', 'HIT@10': '0.0908', 'NDCG@10': '0.0508', 'HIT@20': '0.1308', 'NDCG@20': '0.0608'}
{'Epoch': 11, 'HIT@5': '0.0633', 'NDCG@5': '0.0428', 'HIT@10': '0.0910', 'NDCG@10': '0.0517', 'HIT@20': '0.1349', 'NDCG@20': '0.0627'}
