{'Epoch': 0, 'HIT@5': '0.0073', 'NDCG@5': '0.0050', 'HIT@10': '0.0112', 'NDCG@10': '0.0063', 'HIT@20': '0.0227', 'NDCG@20': '0.0091'}
{'Epoch': 1, 'HIT@5': '0.0087', 'NDCG@5': '0.0055', 'HIT@10': '0.0136', 'NDCG@10': '0.0070', 'HIT@20': '0.0219', 'NDCG@20': '0.0091'}
{'Epoch': 2, 'HIT@5': '0.0082', 'NDCG@5': '0.0055', 'HIT@10': '0.0132', 'NDCG@10': '0.0071', 'HIT@20': '0.0217', 'NDCG@20': '0.0093'}
{'Epoch': 3, 'HIT@5': '0.0118', 'NDCG@5': '0.0072', 'HIT@10': '0.0175', 'NDCG@10': '0.0090', 'HIT@20': '0.0270', 'NDCG@20': '0.0114'}
{'Epoch': 4, 'HIT@5': '0.0136', 'NDCG@5': '0.0090', 'HIT@10': '0.0213', 'NDCG@10': '0.0115', 'HIT@20': '0.0341', 'NDCG@20': '0.0147'}
{'Epoch': 5, 'HIT@5': '0.0180', 'NDCG@5': '0.0116', 'HIT@10': '0.0285', 'NDCG@10': '0.0149', 'HIT@20': '0.0453', 'NDCG@20': '0.0191'}
{'Epoch': 6, 'HIT@5': '0.0203', 'NDCG@5': '0.0129', 'HIT@10': '0.0333', 'NDCG@10': '0.0171', 'HIT@20': '0.0505', 'NDCG@20': '0.0214'}
{'Epoch': 7, 'HIT@5': '0.0229', 'NDCG@5': '0.0151', 'HIT@10': '0.0355', 'NDCG@10': '0.0192', 'HIT@20': '0.0558', 'NDCG@20': '0.0243'}
{'Epoch': 8, 'HIT@5': '0.0244', 'NDCG@5': '0.0157', 'HIT@10': '0.0390', 'NDCG@10': '0.0204', 'HIT@20': '0.0639', 'NDCG@20': '0.0267'}
{'Epoch': 9, 'HIT@5': '0.0271', 'NDCG@5': '0.0175', 'HIT@10': '0.0423', 'NDCG@10': '0.0223', 'HIT@20': '0.0634', 'NDCG@20': '0.0276'}
{'Epoch': 10, 'HIT@5': '0.0288', 'NDCG@5': '0.0188', 'HIT@10': '0.0461', 'NDCG@10': '0.0243', 'HIT@20': '0.0674', 'NDCG@20': '0.0297'}
{'Epoch': 11, 'HIT@5': '0.0298', 'NDCG@5': '0.0198', 'HIT@10': '0.0490', 'NDCG@10': '0.0260', 'HIT@20': '0.0742', 'NDCG@20': '0.0323'}
{'Epoch': 12, 'HIT@5': '0.0323', 'NDCG@5': '0.0219', 'HIT@10': '0.0518', 'NDCG@10': '0.0281', 'HIT@20': '0.0773', 'NDCG@20': '0.0345'}
{'Epoch': 13, 'HIT@5': '0.0337', 'NDCG@5': '0.0217', 'HIT@10': '0.0531', 'NDCG@10': '0.0280', 'HIT@20': '0.0797', 'NDCG@20': '0.0347'}
{'Epoch': 14, 'HIT@5': '0.0339', 'NDCG@5': '0.0213', 'HIT@10': '0.0536', 'NDCG@10': '0.0276', 'HIT@20': '0.0801', 'NDCG@20': '0.0343'}
{'Epoch': 15, 'HIT@5': '0.0377', 'NDCG@5': '0.0247', 'HIT@10': '0.0562', 'NDCG@10': '0.0306', 'HIT@20': '0.0830', 'NDCG@20': '0.0374'}
