{'Epoch': 0, 'HIT@5': '0.0087', 'NDCG@5': '0.0058', 'HIT@10': '0.0133', 'NDCG@10': '0.0073', 'HIT@20': '0.0218', 'NDCG@20': '0.0094'}
{'Epoch': 1, 'HIT@5': '0.0108', 'NDCG@5': '0.0068', 'HIT@10': '0.0170', 'NDCG@10': '0.0088', 'HIT@20': '0.0258', 'NDCG@20': '0.0110'}
{'Epoch': 2, 'HIT@5': '0.0154', 'NDCG@5': '0.0104', 'HIT@10': '0.0236', 'NDCG@10': '0.0130', 'HIT@20': '0.0349', 'NDCG@20': '0.0159'}
{'Epoch': 3, 'HIT@5': '0.0262', 'NDCG@5': '0.0185', 'HIT@10': '0.0388', 'NDCG@10': '0.0226', 'HIT@20': '0.0550', 'NDCG@20': '0.0266'}
{'Epoch': 4, 'HIT@5': '0.0329', 'NDCG@5': '0.0231', 'HIT@10': '0.0500', 'NDCG@10': '0.0286', 'HIT@20': '0.0712', 'NDCG@20': '0.0339'}
{'Epoch': 5, 'HIT@5': '0.0407', 'NDCG@5': '0.0289', 'HIT@10': '0.0589', 'NDCG@10': '0.0347', 'HIT@20': '0.0860', 'NDCG@20': '0.0415'}
{'Epoch': 6, 'HIT@5': '0.0500', 'NDCG@5': '0.0355', 'HIT@10': '0.0706', 'NDCG@10': '0.0421', 'HIT@20': '0.0991', 'NDCG@20': '0.0493'}
{'Epoch': 7, 'HIT@5': '0.0575', 'NDCG@5': '0.0409', 'HIT@10': '0.0791', 'NDCG@10': '0.0479', 'HIT@20': '0.1090', 'NDCG@20': '0.0554'}
{'Epoch': 8, 'HIT@5': '0.0641', 'NDCG@5': '0.0459', 'HIT@10': '0.0902', 'NDCG@10': '0.0542', 'HIT@20': '0.1207', 'NDCG@20': '0.0619'}
{'Epoch': 9, 'HIT@5': '0.0701', 'NDCG@5': '0.0499', 'HIT@10': '0.0962', 'NDCG@10': '0.0583', 'HIT@20': '0.1296', 'NDCG@20': '0.0667'}
{'Epoch': 10, 'HIT@5': '0.0727', 'NDCG@5': '0.0522', 'HIT@10': '0.1001', 'NDCG@10': '0.0611', 'HIT@20': '0.1351', 'NDCG@20': '0.0699'}
{'Epoch': 11, 'HIT@5': '0.0772', 'NDCG@5': '0.0554', 'HIT@10': '0.1053', 'NDCG@10': '0.0645', 'HIT@20': '0.1399', 'NDCG@20': '0.0732'}
{'Epoch': 12, 'HIT@5': '0.0805', 'NDCG@5': '0.0583', 'HIT@10': '0.1096', 'NDCG@10': '0.0677', 'HIT@20': '0.1424', 'NDCG@20': '0.0760'}
{'Epoch': 13, 'HIT@5': '0.0824', 'NDCG@5': '0.0597', 'HIT@10': '0.1099', 'NDCG@10': '0.0686', 'HIT@20': '0.1447', 'NDCG@20': '0.0774'}
{'Epoch': 14, 'HIT@5': '0.0836', 'NDCG@5': '0.0607', 'HIT@10': '0.1116', 'NDCG@10': '0.0698', 'HIT@20': '0.1464', 'NDCG@20': '0.0786'}
