{'Epoch': 0, 'HIT@5': '0.0081', 'NDCG@5': '0.0054', 'HIT@10': '0.0118', 'NDCG@10': '0.0066', 'HIT@20': '0.0196', 'NDCG@20': '0.0085'}
{'Epoch': 1, 'HIT@5': '0.0086', 'NDCG@5': '0.0060', 'HIT@10': '0.0130', 'NDCG@10': '0.0074', 'HIT@20': '0.0192', 'NDCG@20': '0.0089'}
{'Epoch': 2, 'HIT@5': '0.0087', 'NDCG@5': '0.0060', 'HIT@10': '0.0141', 'NDCG@10': '0.0077', 'HIT@20': '0.0234', 'NDCG@20': '0.0100'}
{'Epoch': 3, 'HIT@5': '0.0092', 'NDCG@5': '0.0067', 'HIT@10': '0.0141', 'NDCG@10': '0.0083', 'HIT@20': '0.0243', 'NDCG@20': '0.0108'}
{'Epoch': 4, 'HIT@5': '0.0127', 'NDCG@5': '0.0095', 'HIT@10': '0.0200', 'NDCG@10': '0.0119', 'HIT@20': '0.0296', 'NDCG@20': '0.0143'}
{'Epoch': 5, 'HIT@5': '0.0206', 'NDCG@5': '0.0157', 'HIT@10': '0.0283', 'NDCG@10': '0.0182', 'HIT@20': '0.0410', 'NDCG@20': '0.0214'}
{'Epoch': 6, 'HIT@5': '0.0306', 'NDCG@5': '0.0239', 'HIT@10': '0.0408', 'NDCG@10': '0.0271', 'HIT@20': '0.0551', 'NDCG@20': '0.0307'}
{'Epoch': 7, 'HIT@5': '0.0416', 'NDCG@5': '0.0332', 'HIT@10': '0.0530', 'NDCG@10': '0.0368', 'HIT@20': '0.0673', 'NDCG@20': '0.0404'}
{'Epoch': 8, 'HIT@5': '0.0486', 'NDCG@5': '0.0395', 'HIT@10': '0.0593', 'NDCG@10': '0.0430', 'HIT@20': '0.0740', 'NDCG@20': '0.0467'}
{'Epoch': 9, 'HIT@5': '0.0538', 'NDCG@5': '0.0434', 'HIT@10': '0.0650', 'NDCG@10': '0.0470', 'HIT@20': '0.0794', 'NDCG@20': '0.0507'}
{'Epoch': 10, 'HIT@5': '0.0572', 'NDCG@5': '0.0453', 'HIT@10': '0.0687', 'NDCG@10': '0.0490', 'HIT@20': '0.0836', 'NDCG@20': '0.0527'}
{'Epoch': 11, 'HIT@5': '0.0594', 'NDCG@5': '0.0473', 'HIT@10': '0.0710', 'NDCG@10': '0.0510', 'HIT@20': '0.0865', 'NDCG@20': '0.0549'}
{'Epoch': 12, 'HIT@5': '0.0607', 'NDCG@5': '0.0479', 'HIT@10': '0.0739', 'NDCG@10': '0.0521', 'HIT@20': '0.0880', 'NDCG@20': '0.0557'}
{'Epoch': 13, 'HIT@5': '0.0616', 'NDCG@5': '0.0478', 'HIT@10': '0.0737', 'NDCG@10': '0.0517', 'HIT@20': '0.0898', 'NDCG@20': '0.0558'}
{'Epoch': 14, 'HIT@5': '0.0631', 'NDCG@5': '0.0490', 'HIT@10': '0.0734', 'NDCG@10': '0.0524', 'HIT@20': '0.0880', 'NDCG@20': '0.0561'}
{'Epoch': 15, 'HIT@5': '0.0641', 'NDCG@5': '0.0497', 'HIT@10': '0.0751', 'NDCG@10': '0.0532', 'HIT@20': '0.0879', 'NDCG@20': '0.0564'}
{'Epoch': 16, 'HIT@5': '0.0642', 'NDCG@5': '0.0493', 'HIT@10': '0.0761', 'NDCG@10': '0.0532', 'HIT@20': '0.0897', 'NDCG@20': '0.0566'}
{'Epoch': 17, 'HIT@5': '0.0639', 'NDCG@5': '0.0489', 'HIT@10': '0.0768', 'NDCG@10': '0.0531', 'HIT@20': '0.0894', 'NDCG@20': '0.0563'}
{'Epoch': 18, 'HIT@5': '0.0651', 'NDCG@5': '0.0497', 'HIT@10': '0.0767', 'NDCG@10': '0.0535', 'HIT@20': '0.0904', 'NDCG@20': '0.0570'}
{'Epoch': 19, 'HIT@5': '0.0653', 'NDCG@5': '0.0499', 'HIT@10': '0.0772', 'NDCG@10': '0.0538', 'HIT@20': '0.0899', 'NDCG@20': '0.0570'}
{'Epoch': 20, 'HIT@5': '0.0645', 'NDCG@5': '0.0493', 'HIT@10': '0.0779', 'NDCG@10': '0.0536', 'HIT@20': '0.0915', 'NDCG@20': '0.0570'}
{'Epoch': 21, 'HIT@5': '0.0641', 'NDCG@5': '0.0488', 'HIT@10': '0.0784', 'NDCG@10': '0.0534', 'HIT@20': '0.0910', 'NDCG@20': '0.0566'}
{'Epoch': 22, 'HIT@5': '0.0644', 'NDCG@5': '0.0492', 'HIT@10': '0.0785', 'NDCG@10': '0.0538', 'HIT@20': '0.0915', 'NDCG@20': '0.0571'}
{'Epoch': 23, 'HIT@5': '0.0648', 'NDCG@5': '0.0496', 'HIT@10': '0.0785', 'NDCG@10': '0.0540', 'HIT@20': '0.0916', 'NDCG@20': '0.0574'}
{'Epoch': 24, 'HIT@5': '0.0651', 'NDCG@5': '0.0492', 'HIT@10': '0.0783', 'NDCG@10': '0.0535', 'HIT@20': '0.0923', 'NDCG@20': '0.0571'}
{'Epoch': 25, 'HIT@5': '0.0651', 'NDCG@5': '0.0490', 'HIT@10': '0.0786', 'NDCG@10': '0.0534', 'HIT@20': '0.0919', 'NDCG@20': '0.0567'}
{'Epoch': 26, 'HIT@5': '0.0661', 'NDCG@5': '0.0503', 'HIT@10': '0.0788', 'NDCG@10': '0.0544', 'HIT@20': '0.0924', 'NDCG@20': '0.0579'}
{'Epoch': 27, 'HIT@5': '0.0652', 'NDCG@5': '0.0495', 'HIT@10': '0.0779', 'NDCG@10': '0.0536', 'HIT@20': '0.0921', 'NDCG@20': '0.0572'}
{'Epoch': 28, 'HIT@5': '0.0654', 'NDCG@5': '0.0496', 'HIT@10': '0.0785', 'NDCG@10': '0.0538', 'HIT@20': '0.0922', 'NDCG@20': '0.0572'}
{'Epoch': 29, 'HIT@5': '0.0657', 'NDCG@5': '0.0506', 'HIT@10': '0.0791', 'NDCG@10': '0.0549', 'HIT@20': '0.0922', 'NDCG@20': '0.0582'}
{'Epoch': 30, 'HIT@5': '0.0647', 'NDCG@5': '0.0484', 'HIT@10': '0.0783', 'NDCG@10': '0.0528', 'HIT@20': '0.0927', 'NDCG@20': '0.0564'}
{'Epoch': 31, 'HIT@5': '0.0638', 'NDCG@5': '0.0495', 'HIT@10': '0.0790', 'NDCG@10': '0.0544', 'HIT@20': '0.0927', 'NDCG@20': '0.0579'}
{'Epoch': 32, 'HIT@5': '0.0648', 'NDCG@5': '0.0491', 'HIT@10': '0.0798', 'NDCG@10': '0.0540', 'HIT@20': '0.0924', 'NDCG@20': '0.0572'}
{'Epoch': 33, 'HIT@5': '0.0645', 'NDCG@5': '0.0494', 'HIT@10': '0.0792', 'NDCG@10': '0.0541', 'HIT@20': '0.0933', 'NDCG@20': '0.0577'}
