{'Epoch': 0, 'HIT@5': '0.0060', 'NDCG@5': '0.0040', 'HIT@10': '0.0099', 'NDCG@10': '0.0053', 'HIT@20': '0.0167', 'NDCG@20': '0.0070'}
{'Epoch': 1, 'HIT@5': '0.0078', 'NDCG@5': '0.0047', 'HIT@10': '0.0137', 'NDCG@10': '0.0066', 'HIT@20': '0.0239', 'NDCG@20': '0.0091'}
{'Epoch': 2, 'HIT@5': '0.0107', 'NDCG@5': '0.0064', 'HIT@10': '0.0183', 'NDCG@10': '0.0088', 'HIT@20': '0.0306', 'NDCG@20': '0.0119'}
{'Epoch': 3, 'HIT@5': '0.0135', 'NDCG@5': '0.0084', 'HIT@10': '0.0228', 'NDCG@10': '0.0113', 'HIT@20': '0.0374', 'NDCG@20': '0.0150'}
{'Epoch': 4, 'HIT@5': '0.0145', 'NDCG@5': '0.0089', 'HIT@10': '0.0261', 'NDCG@10': '0.0126', 'HIT@20': '0.0451', 'NDCG@20': '0.0174'}
{'Epoch': 5, 'HIT@5': '0.0154', 'NDCG@5': '0.0099', 'HIT@10': '0.0286', 'NDCG@10': '0.0141', 'HIT@20': '0.0489', 'NDCG@20': '0.0192'}
{'Epoch': 6, 'HIT@5': '0.0186', 'NDCG@5': '0.0119', 'HIT@10': '0.0332', 'NDCG@10': '0.0165', 'HIT@20': '0.0531', 'NDCG@20': '0.0215'}
{'Epoch': 7, 'HIT@5': '0.0185', 'NDCG@5': '0.0115', 'HIT@10': '0.0326', 'NDCG@10': '0.0160', 'HIT@20': '0.0567', 'NDCG@20': '0.0221'}
{'Epoch': 8, 'HIT@5': '0.0190', 'NDCG@5': '0.0117', 'HIT@10': '0.0342', 'NDCG@10': '0.0166', 'HIT@20': '0.0580', 'NDCG@20': '0.0226'}
{'Epoch': 9, 'HIT@5': '0.0206', 'NDCG@5': '0.0130', 'HIT@10': '0.0357', 'NDCG@10': '0.0179', 'HIT@20': '0.0602', 'NDCG@20': '0.0240'}
{'Epoch': 10, 'HIT@5': '0.0222', 'NDCG@5': '0.0143', 'HIT@10': '0.0375', 'NDCG@10': '0.0192', 'HIT@20': '0.0623', 'NDCG@20': '0.0254'}
