{'Epoch': 0, 'HIT@5': '0.0118', 'NDCG@5': '0.0070', 'HIT@10': '0.0189', 'NDCG@10': '0.0092', 'HIT@20': '0.0322', 'NDCG@20': '0.0126'}
{'Epoch': 1, 'HIT@5': '0.0117', 'NDCG@5': '0.0073', 'HIT@10': '0.0203', 'NDCG@10': '0.0101', 'HIT@20': '0.0350', 'NDCG@20': '0.0138'}
{'Epoch': 2, 'HIT@5': '0.0129', 'NDCG@5': '0.0080', 'HIT@10': '0.0224', 'NDCG@10': '0.0110', 'HIT@20': '0.0382', 'NDCG@20': '0.0150'}
{'Epoch': 3, 'HIT@5': '0.0145', 'NDCG@5': '0.0088', 'HIT@10': '0.0247', 'NDCG@10': '0.0121', 'HIT@20': '0.0396', 'NDCG@20': '0.0158'}
{'Epoch': 4, 'HIT@5': '0.0152', 'NDCG@5': '0.0092', 'HIT@10': '0.0255', 'NDCG@10': '0.0125', 'HIT@20': '0.0425', 'NDCG@20': '0.0168'}
{'Epoch': 5, 'HIT@5': '0.0150', 'NDCG@5': '0.0092', 'HIT@10': '0.0264', 'NDCG@10': '0.0129', 'HIT@20': '0.0444', 'NDCG@20': '0.0174'}
{'Epoch': 6, 'HIT@5': '0.0157', 'NDCG@5': '0.0097', 'HIT@10': '0.0273', 'NDCG@10': '0.0134', 'HIT@20': '0.0452', 'NDCG@20': '0.0179'}
{'Epoch': 7, 'HIT@5': '0.0162', 'NDCG@5': '0.0097', 'HIT@10': '0.0276', 'NDCG@10': '0.0134', 'HIT@20': '0.0450', 'NDCG@20': '0.0177'}
{'Epoch': 8, 'HIT@5': '0.0164', 'NDCG@5': '0.0099', 'HIT@10': '0.0282', 'NDCG@10': '0.0136', 'HIT@20': '0.0467', 'NDCG@20': '0.0183'}
{'Epoch': 9, 'HIT@5': '0.0160', 'NDCG@5': '0.0100', 'HIT@10': '0.0291', 'NDCG@10': '0.0142', 'HIT@20': '0.0469', 'NDCG@20': '0.0187'}
{'Epoch': 10, 'HIT@5': '0.0161', 'NDCG@5': '0.0102', 'HIT@10': '0.0290', 'NDCG@10': '0.0143', 'HIT@20': '0.0472', 'NDCG@20': '0.0189'}
{'Epoch': 11, 'HIT@5': '0.0164', 'NDCG@5': '0.0101', 'HIT@10': '0.0284', 'NDCG@10': '0.0139', 'HIT@20': '0.0466', 'NDCG@20': '0.0185'}
{'Epoch': 12, 'HIT@5': '0.0171', 'NDCG@5': '0.0107', 'HIT@10': '0.0302', 'NDCG@10': '0.0149', 'HIT@20': '0.0486', 'NDCG@20': '0.0195'}
{'Epoch': 13, 'HIT@5': '0.0176', 'NDCG@5': '0.0111', 'HIT@10': '0.0304', 'NDCG@10': '0.0152', 'HIT@20': '0.0483', 'NDCG@20': '0.0196'}
{'Epoch': 14, 'HIT@5': '0.0172', 'NDCG@5': '0.0109', 'HIT@10': '0.0293', 'NDCG@10': '0.0148', 'HIT@20': '0.0495', 'NDCG@20': '0.0199'}
{'Epoch': 15, 'HIT@5': '0.0175', 'NDCG@5': '0.0110', 'HIT@10': '0.0306', 'NDCG@10': '0.0152', 'HIT@20': '0.0498', 'NDCG@20': '0.0200'}
{'Epoch': 16, 'HIT@5': '0.0180', 'NDCG@5': '0.0113', 'HIT@10': '0.0311', 'NDCG@10': '0.0155', 'HIT@20': '0.0499', 'NDCG@20': '0.0202'}
{'Epoch': 17, 'HIT@5': '0.0182', 'NDCG@5': '0.0116', 'HIT@10': '0.0304', 'NDCG@10': '0.0155', 'HIT@20': '0.0496', 'NDCG@20': '0.0203'}
{'Epoch': 18, 'HIT@5': '0.0178', 'NDCG@5': '0.0112', 'HIT@10': '0.0303', 'NDCG@10': '0.0152', 'HIT@20': '0.0499', 'NDCG@20': '0.0201'}
