{'Epoch': 0, 'HIT@5': '0.0156', 'NDCG@5': '0.0097', 'HIT@10': '0.0260', 'NDCG@10': '0.0130', 'HIT@20': '0.0411', 'NDCG@20': '0.0168'}
{'Epoch': 1, 'HIT@5': '0.0177', 'NDCG@5': '0.0109', 'HIT@10': '0.0298', 'NDCG@10': '0.0148', 'HIT@20': '0.0484', 'NDCG@20': '0.0195'}
{'Epoch': 2, 'HIT@5': '0.0185', 'NDCG@5': '0.0115', 'HIT@10': '0.0324', 'NDCG@10': '0.0160', 'HIT@20': '0.0523', 'NDCG@20': '0.0210'}
{'Epoch': 3, 'HIT@5': '0.0195', 'NDCG@5': '0.0121', 'HIT@10': '0.0336', 'NDCG@10': '0.0167', 'HIT@20': '0.0548', 'NDCG@20': '0.0220'}
{'Epoch': 4, 'HIT@5': '0.0196', 'NDCG@5': '0.0123', 'HIT@10': '0.0345', 'NDCG@10': '0.0171', 'HIT@20': '0.0554', 'NDCG@20': '0.0224'}
{'Epoch': 5, 'HIT@5': '0.0208', 'NDCG@5': '0.0129', 'HIT@10': '0.0358', 'NDCG@10': '0.0177', 'HIT@20': '0.0570', 'NDCG@20': '0.0230'}
{'Epoch': 6, 'HIT@5': '0.0207', 'NDCG@5': '0.0128', 'HIT@10': '0.0366', 'NDCG@10': '0.0179', 'HIT@20': '0.0585', 'NDCG@20': '0.0235'}
{'Epoch': 7, 'HIT@5': '0.0207', 'NDCG@5': '0.0130', 'HIT@10': '0.0361', 'NDCG@10': '0.0180', 'HIT@20': '0.0589', 'NDCG@20': '0.0237'}
{'Epoch': 8, 'HIT@5': '0.0222', 'NDCG@5': '0.0135', 'HIT@10': '0.0381', 'NDCG@10': '0.0186', 'HIT@20': '0.0616', 'NDCG@20': '0.0246'}
{'Epoch': 9, 'HIT@5': '0.0217', 'NDCG@5': '0.0136', 'HIT@10': '0.0379', 'NDCG@10': '0.0188', 'HIT@20': '0.0623', 'NDCG@20': '0.0250'}
{'Epoch': 10, 'HIT@5': '0.0221', 'NDCG@5': '0.0135', 'HIT@10': '0.0390', 'NDCG@10': '0.0190', 'HIT@20': '0.0640', 'NDCG@20': '0.0253'}
{'Epoch': 11, 'HIT@5': '0.0231', 'NDCG@5': '0.0142', 'HIT@10': '0.0395', 'NDCG@10': '0.0195', 'HIT@20': '0.0637', 'NDCG@20': '0.0255'}
{'Epoch': 12, 'HIT@5': '0.0229', 'NDCG@5': '0.0143', 'HIT@10': '0.0396', 'NDCG@10': '0.0197', 'HIT@20': '0.0658', 'NDCG@20': '0.0262'}
{'Epoch': 13, 'HIT@5': '0.0237', 'NDCG@5': '0.0146', 'HIT@10': '0.0405', 'NDCG@10': '0.0200', 'HIT@20': '0.0662', 'NDCG@20': '0.0264'}
