{'Epoch': 0, 'HIT@5': '0.0050', 'NDCG@5': '0.0034', 'HIT@10': '0.0090', 'NDCG@10': '0.0047', 'HIT@20': '0.0159', 'NDCG@20': '0.0064'}
{'Epoch': 1, 'HIT@5': '0.0054', 'NDCG@5': '0.0036', 'HIT@10': '0.0096', 'NDCG@10': '0.0049', 'HIT@20': '0.0166', 'NDCG@20': '0.0066'}
{'Epoch': 2, 'HIT@5': '0.0086', 'NDCG@5': '0.0052', 'HIT@10': '0.0155', 'NDCG@10': '0.0074', 'HIT@20': '0.0249', 'NDCG@20': '0.0098'}
{'Epoch': 3, 'HIT@5': '0.0107', 'NDCG@5': '0.0065', 'HIT@10': '0.0184', 'NDCG@10': '0.0090', 'HIT@20': '0.0276', 'NDCG@20': '0.0113'}
{'Epoch': 4, 'HIT@5': '0.0136', 'NDCG@5': '0.0086', 'HIT@10': '0.0230', 'NDCG@10': '0.0116', 'HIT@20': '0.0377', 'NDCG@20': '0.0153'}
{'Epoch': 5, 'HIT@5': '0.0141', 'NDCG@5': '0.0088', 'HIT@10': '0.0242', 'NDCG@10': '0.0120', 'HIT@20': '0.0393', 'NDCG@20': '0.0157'}
{'Epoch': 6, 'HIT@5': '0.0155', 'NDCG@5': '0.0099', 'HIT@10': '0.0251', 'NDCG@10': '0.0130', 'HIT@20': '0.0408', 'NDCG@20': '0.0170'}
{'Epoch': 7, 'HIT@5': '0.0154', 'NDCG@5': '0.0098', 'HIT@10': '0.0267', 'NDCG@10': '0.0134', 'HIT@20': '0.0431', 'NDCG@20': '0.0175'}
{'Epoch': 8, 'HIT@5': '0.0175', 'NDCG@5': '0.0113', 'HIT@10': '0.0274', 'NDCG@10': '0.0144', 'HIT@20': '0.0451', 'NDCG@20': '0.0189'}
{'Epoch': 9, 'HIT@5': '0.0179', 'NDCG@5': '0.0114', 'HIT@10': '0.0292', 'NDCG@10': '0.0150', 'HIT@20': '0.0480', 'NDCG@20': '0.0197'}
{'Epoch': 10, 'HIT@5': '0.0178', 'NDCG@5': '0.0113', 'HIT@10': '0.0282', 'NDCG@10': '0.0147', 'HIT@20': '0.0468', 'NDCG@20': '0.0193'}
{'Epoch': 11, 'HIT@5': '0.0175', 'NDCG@5': '0.0113', 'HIT@10': '0.0299', 'NDCG@10': '0.0153', 'HIT@20': '0.0484', 'NDCG@20': '0.0199'}
{'Epoch': 12, 'HIT@5': '0.0183', 'NDCG@5': '0.0118', 'HIT@10': '0.0293', 'NDCG@10': '0.0153', 'HIT@20': '0.0468', 'NDCG@20': '0.0197'}
{'Epoch': 13, 'HIT@5': '0.0166', 'NDCG@5': '0.0107', 'HIT@10': '0.0289', 'NDCG@10': '0.0146', 'HIT@20': '0.0493', 'NDCG@20': '0.0198'}
{'Epoch': 14, 'HIT@5': '0.0177', 'NDCG@5': '0.0111', 'HIT@10': '0.0303', 'NDCG@10': '0.0152', 'HIT@20': '0.0487', 'NDCG@20': '0.0197'}
{'Epoch': 15, 'HIT@5': '0.0174', 'NDCG@5': '0.0111', 'HIT@10': '0.0282', 'NDCG@10': '0.0146', 'HIT@20': '0.0465', 'NDCG@20': '0.0192'}
{'Epoch': 16, 'HIT@5': '0.0167', 'NDCG@5': '0.0107', 'HIT@10': '0.0289', 'NDCG@10': '0.0146', 'HIT@20': '0.0476', 'NDCG@20': '0.0192'}
{'Epoch': 17, 'HIT@5': '0.0188', 'NDCG@5': '0.0116', 'HIT@10': '0.0308', 'NDCG@10': '0.0154', 'HIT@20': '0.0519', 'NDCG@20': '0.0207'}
{'Epoch': 18, 'HIT@5': '0.0174', 'NDCG@5': '0.0111', 'HIT@10': '0.0287', 'NDCG@10': '0.0147', 'HIT@20': '0.0484', 'NDCG@20': '0.0197'}
{'Epoch': 19, 'HIT@5': '0.0172', 'NDCG@5': '0.0109', 'HIT@10': '0.0286', 'NDCG@10': '0.0146', 'HIT@20': '0.0483', 'NDCG@20': '0.0195'}
{'Epoch': 20, 'HIT@5': '0.0168', 'NDCG@5': '0.0106', 'HIT@10': '0.0297', 'NDCG@10': '0.0147', 'HIT@20': '0.0497', 'NDCG@20': '0.0197'}
{'Epoch': 21, 'HIT@5': '0.0175', 'NDCG@5': '0.0110', 'HIT@10': '0.0297', 'NDCG@10': '0.0150', 'HIT@20': '0.0505', 'NDCG@20': '0.0202'}
{'Epoch': 22, 'HIT@5': '0.0178', 'NDCG@5': '0.0114', 'HIT@10': '0.0303', 'NDCG@10': '0.0153', 'HIT@20': '0.0513', 'NDCG@20': '0.0206'}
{'Epoch': 23, 'HIT@5': '0.0178', 'NDCG@5': '0.0110', 'HIT@10': '0.0308', 'NDCG@10': '0.0152', 'HIT@20': '0.0515', 'NDCG@20': '0.0204'}
{'Epoch': 24, 'HIT@5': '0.0175', 'NDCG@5': '0.0109', 'HIT@10': '0.0305', 'NDCG@10': '0.0151', 'HIT@20': '0.0518', 'NDCG@20': '0.0204'}
{'Epoch': 25, 'HIT@5': '0.0172', 'NDCG@5': '0.0107', 'HIT@10': '0.0303', 'NDCG@10': '0.0149', 'HIT@20': '0.0505', 'NDCG@20': '0.0199'}
{'Epoch': 26, 'HIT@5': '0.0160', 'NDCG@5': '0.0101', 'HIT@10': '0.0288', 'NDCG@10': '0.0141', 'HIT@20': '0.0499', 'NDCG@20': '0.0194'}
{'Epoch': 27, 'HIT@5': '0.0173', 'NDCG@5': '0.0107', 'HIT@10': '0.0283', 'NDCG@10': '0.0142', 'HIT@20': '0.0500', 'NDCG@20': '0.0197'}
{'Epoch': 27, 'HIT@5': '0.0157', 'NDCG@5': '0.0099', 'HIT@10': '0.0267', 'NDCG@10': '0.0134', 'HIT@20': '0.0455', 'NDCG@20': '0.0181'}
SASRec-Yelp-0-BCE
{'Epoch': 27, 'HIT@5': '0.0157', 'NDCG@5': '0.0099', 'HIT@10': '0.0267', 'NDCG@10': '0.0134', 'HIT@20': '0.0455', 'NDCG@20': '0.0181'}
