{'Epoch': 0, 'HIT@5': '0.0063', 'NDCG@5': '0.0041', 'HIT@10': '0.0099', 'NDCG@10': '0.0052', 'HIT@20': '0.0174', 'NDCG@20': '0.0071'}
{'Epoch': 1, 'HIT@5': '0.0107', 'NDCG@5': '0.0069', 'HIT@10': '0.0181', 'NDCG@10': '0.0093', 'HIT@20': '0.0310', 'NDCG@20': '0.0126'}
{'Epoch': 2, 'HIT@5': '0.0157', 'NDCG@5': '0.0100', 'HIT@10': '0.0266', 'NDCG@10': '0.0134', 'HIT@20': '0.0434', 'NDCG@20': '0.0177'}
{'Epoch': 3, 'HIT@5': '0.0177', 'NDCG@5': '0.0112', 'HIT@10': '0.0301', 'NDCG@10': '0.0152', 'HIT@20': '0.0500', 'NDCG@20': '0.0202'}
{'Epoch': 4, 'HIT@5': '0.0203', 'NDCG@5': '0.0130', 'HIT@10': '0.0338', 'NDCG@10': '0.0173', 'HIT@20': '0.0559', 'NDCG@20': '0.0228'}
{'Epoch': 5, 'HIT@5': '0.0218', 'NDCG@5': '0.0137', 'HIT@10': '0.0362', 'NDCG@10': '0.0183', 'HIT@20': '0.0617', 'NDCG@20': '0.0247'}
{'Epoch': 6, 'HIT@5': '0.0235', 'NDCG@5': '0.0148', 'HIT@10': '0.0390', 'NDCG@10': '0.0197', 'HIT@20': '0.0657', 'NDCG@20': '0.0264'}
{'Epoch': 7, 'HIT@5': '0.0243', 'NDCG@5': '0.0153', 'HIT@10': '0.0417', 'NDCG@10': '0.0209', 'HIT@20': '0.0680', 'NDCG@20': '0.0276'}
{'Epoch': 8, 'HIT@5': '0.0246', 'NDCG@5': '0.0155', 'HIT@10': '0.0430', 'NDCG@10': '0.0214', 'HIT@20': '0.0697', 'NDCG@20': '0.0281'}
{'Epoch': 9, 'HIT@5': '0.0245', 'NDCG@5': '0.0155', 'HIT@10': '0.0431', 'NDCG@10': '0.0214', 'HIT@20': '0.0700', 'NDCG@20': '0.0282'}
{'Epoch': 10, 'HIT@5': '0.0253', 'NDCG@5': '0.0157', 'HIT@10': '0.0440', 'NDCG@10': '0.0217', 'HIT@20': '0.0694', 'NDCG@20': '0.0281'}
{'Epoch': 11, 'HIT@5': '0.0261', 'NDCG@5': '0.0161', 'HIT@10': '0.0440', 'NDCG@10': '0.0218', 'HIT@20': '0.0692', 'NDCG@20': '0.0282'}
{'Epoch': 12, 'HIT@5': '0.0259', 'NDCG@5': '0.0165', 'HIT@10': '0.0437', 'NDCG@10': '0.0222', 'HIT@20': '0.0700', 'NDCG@20': '0.0288'}
{'Epoch': 13, 'HIT@5': '0.0256', 'NDCG@5': '0.0158', 'HIT@10': '0.0436', 'NDCG@10': '0.0215', 'HIT@20': '0.0696', 'NDCG@20': '0.0281'}
{'Epoch': 14, 'HIT@5': '0.0266', 'NDCG@5': '0.0164', 'HIT@10': '0.0435', 'NDCG@10': '0.0218', 'HIT@20': '0.0700', 'NDCG@20': '0.0285'}
{'Epoch': 15, 'HIT@5': '0.0244', 'NDCG@5': '0.0153', 'HIT@10': '0.0430', 'NDCG@10': '0.0213', 'HIT@20': '0.0699', 'NDCG@20': '0.0280'}
{'Epoch': 16, 'HIT@5': '0.0254', 'NDCG@5': '0.0158', 'HIT@10': '0.0426', 'NDCG@10': '0.0213', 'HIT@20': '0.0696', 'NDCG@20': '0.0281'}
{'Epoch': 17, 'HIT@5': '0.0255', 'NDCG@5': '0.0161', 'HIT@10': '0.0429', 'NDCG@10': '0.0217', 'HIT@20': '0.0690', 'NDCG@20': '0.0282'}
{'Epoch': 18, 'HIT@5': '0.0251', 'NDCG@5': '0.0157', 'HIT@10': '0.0426', 'NDCG@10': '0.0213', 'HIT@20': '0.0700', 'NDCG@20': '0.0282'}
{'Epoch': 19, 'HIT@5': '0.0252', 'NDCG@5': '0.0161', 'HIT@10': '0.0429', 'NDCG@10': '0.0218', 'HIT@20': '0.0691', 'NDCG@20': '0.0284'}
{'Epoch': 20, 'HIT@5': '0.0254', 'NDCG@5': '0.0162', 'HIT@10': '0.0434', 'NDCG@10': '0.0220', 'HIT@20': '0.0691', 'NDCG@20': '0.0284'}
{'Epoch': 21, 'HIT@5': '0.0250', 'NDCG@5': '0.0158', 'HIT@10': '0.0425', 'NDCG@10': '0.0213', 'HIT@20': '0.0673', 'NDCG@20': '0.0276'}
{'Epoch': 22, 'HIT@5': '0.0262', 'NDCG@5': '0.0163', 'HIT@10': '0.0426', 'NDCG@10': '0.0215', 'HIT@20': '0.0704', 'NDCG@20': '0.0285'}
{'Epoch': 22, 'HIT@5': '0.0227', 'NDCG@5': '0.0146', 'HIT@10': '0.0371', 'NDCG@10': '0.0192', 'HIT@20': '0.0593', 'NDCG@20': '0.0247'}
SASRec-Yelp-0-CCE
{'Epoch': 22, 'HIT@5': '0.0227', 'NDCG@5': '0.0146', 'HIT@10': '0.0371', 'NDCG@10': '0.0192', 'HIT@20': '0.0593', 'NDCG@20': '0.0247'}
