{'Epoch': 0, 'HIT@5': '0.0052', 'NDCG@5': '0.0036', 'HIT@10': '0.0102', 'NDCG@10': '0.0052', 'HIT@20': '0.0177', 'NDCG@20': '0.0071'}
{'Epoch': 1, 'HIT@5': '0.0063', 'NDCG@5': '0.0041', 'HIT@10': '0.0098', 'NDCG@10': '0.0052', 'HIT@20': '0.0171', 'NDCG@20': '0.0070'}
{'Epoch': 2, 'HIT@5': '0.0092', 'NDCG@5': '0.0057', 'HIT@10': '0.0152', 'NDCG@10': '0.0076', 'HIT@20': '0.0263', 'NDCG@20': '0.0104'}
{'Epoch': 3, 'HIT@5': '0.0103', 'NDCG@5': '0.0062', 'HIT@10': '0.0179', 'NDCG@10': '0.0086', 'HIT@20': '0.0303', 'NDCG@20': '0.0117'}
{'Epoch': 4, 'HIT@5': '0.0106', 'NDCG@5': '0.0062', 'HIT@10': '0.0183', 'NDCG@10': '0.0087', 'HIT@20': '0.0318', 'NDCG@20': '0.0121'}
{'Epoch': 5, 'HIT@5': '0.0117', 'NDCG@5': '0.0070', 'HIT@10': '0.0209', 'NDCG@10': '0.0099', 'HIT@20': '0.0349', 'NDCG@20': '0.0135'}
{'Epoch': 6, 'HIT@5': '0.0120', 'NDCG@5': '0.0072', 'HIT@10': '0.0211', 'NDCG@10': '0.0102', 'HIT@20': '0.0343', 'NDCG@20': '0.0135'}
{'Epoch': 7, 'HIT@5': '0.0117', 'NDCG@5': '0.0073', 'HIT@10': '0.0204', 'NDCG@10': '0.0101', 'HIT@20': '0.0340', 'NDCG@20': '0.0135'}
{'Epoch': 8, 'HIT@5': '0.0122', 'NDCG@5': '0.0078', 'HIT@10': '0.0209', 'NDCG@10': '0.0105', 'HIT@20': '0.0352', 'NDCG@20': '0.0141'}
{'Epoch': 9, 'HIT@5': '0.0123', 'NDCG@5': '0.0077', 'HIT@10': '0.0209', 'NDCG@10': '0.0104', 'HIT@20': '0.0350', 'NDCG@20': '0.0140'}
{'Epoch': 10, 'HIT@5': '0.0118', 'NDCG@5': '0.0075', 'HIT@10': '0.0201', 'NDCG@10': '0.0102', 'HIT@20': '0.0337', 'NDCG@20': '0.0135'}
{'Epoch': 11, 'HIT@5': '0.0129', 'NDCG@5': '0.0082', 'HIT@10': '0.0208', 'NDCG@10': '0.0108', 'HIT@20': '0.0342', 'NDCG@20': '0.0142'}
{'Epoch': 12, 'HIT@5': '0.0124', 'NDCG@5': '0.0077', 'HIT@10': '0.0203', 'NDCG@10': '0.0102', 'HIT@20': '0.0323', 'NDCG@20': '0.0132'}
{'Epoch': 13, 'HIT@5': '0.0118', 'NDCG@5': '0.0074', 'HIT@10': '0.0205', 'NDCG@10': '0.0102', 'HIT@20': '0.0330', 'NDCG@20': '0.0133'}
{'Epoch': 14, 'HIT@5': '0.0123', 'NDCG@5': '0.0078', 'HIT@10': '0.0198', 'NDCG@10': '0.0102', 'HIT@20': '0.0324', 'NDCG@20': '0.0134'}
{'Epoch': 15, 'HIT@5': '0.0123', 'NDCG@5': '0.0077', 'HIT@10': '0.0209', 'NDCG@10': '0.0104', 'HIT@20': '0.0328', 'NDCG@20': '0.0134'}
{'Epoch': 16, 'HIT@5': '0.0127', 'NDCG@5': '0.0081', 'HIT@10': '0.0206', 'NDCG@10': '0.0107', 'HIT@20': '0.0335', 'NDCG@20': '0.0139'}
{'Epoch': 17, 'HIT@5': '0.0122', 'NDCG@5': '0.0077', 'HIT@10': '0.0205', 'NDCG@10': '0.0104', 'HIT@20': '0.0322', 'NDCG@20': '0.0133'}
{'Epoch': 18, 'HIT@5': '0.0122', 'NDCG@5': '0.0078', 'HIT@10': '0.0198', 'NDCG@10': '0.0102', 'HIT@20': '0.0326', 'NDCG@20': '0.0134'}
{'Epoch': 19, 'HIT@5': '0.0120', 'NDCG@5': '0.0075', 'HIT@10': '0.0205', 'NDCG@10': '0.0103', 'HIT@20': '0.0322', 'NDCG@20': '0.0132'}
{'Epoch': 20, 'HIT@5': '0.0120', 'NDCG@5': '0.0073', 'HIT@10': '0.0193', 'NDCG@10': '0.0097', 'HIT@20': '0.0315', 'NDCG@20': '0.0128'}
{'Epoch': 21, 'HIT@5': '0.0122', 'NDCG@5': '0.0078', 'HIT@10': '0.0202', 'NDCG@10': '0.0103', 'HIT@20': '0.0330', 'NDCG@20': '0.0135'}
{'Epoch': 21, 'HIT@5': '0.0112', 'NDCG@5': '0.0071', 'HIT@10': '0.0181', 'NDCG@10': '0.0094', 'HIT@20': '0.0310', 'NDCG@20': '0.0126'}
SRGNN-Yelp-0-CCE
{'Epoch': 21, 'HIT@5': '0.0112', 'NDCG@5': '0.0071', 'HIT@10': '0.0181', 'NDCG@10': '0.0094', 'HIT@20': '0.0310', 'NDCG@20': '0.0126'}
